Date,Year,Month,Day,Day_of_Week,Season,AQI,AQI_Category,PM2_5,PM10,NO2,SO2,CO,O3,Data_Source
2023-02-23,2023,2,23,Thursday,Winter,157,Moderate,67.9,103.0,26.5,10.8,1.64,23.7,Interpolated_from_baseline
2023-02-24,2023,2,24,Friday,Winter,166,Moderate,84.9,114.4,29.6,11.3,1.86,26.8,Interpolated_from_baseline
2023-02-25,2023,2,25,Saturday,Winter,154,Moderate,61.7,93.1,23.6,8.3,1.52,24.9,Interpolated_from_baseline
2023-02-26,2023,2,26,Sunday,Winter,156,Moderate,65.3,93.9,25.8,10.5,1.43,24.4,Interpolated_from_baseline
2023-02-27,2023,2,27,Monday,Winter,155,Moderate,62.7,93.5,24.1,10.7,1.6,23.3,Interpolated_from_baseline
2023-02-28,2023,2,28,Tuesday,Winter,161,Moderate,75.5,102.0,29.6,13.1,1.89,24.4,Interpolated_from_baseline
2023-03-01,2023,3,1,Wednesday,Summer,152,Moderate,57.9,91.5,22.9,9.6,1.63,29.3,Interpolated_from_baseline
2023-03-02,2023,3,2,Thursday,Summer,156,Moderate,64.5,92.8,24.7,11.6,1.45,31.9,Interpolated_from_baseline
2023-03-03,2023,3,3,Friday,Summer,152,Moderate,57.7,86.1,21.0,10.0,1.51,32.3,Interpolated_from_baseline
2023-03-04,2023,3,4,Saturday,Summer,155,Moderate,62.6,93.4,23.1,11.0,1.71,32.9,Interpolated_from_baseline
2023-03-05,2023,3,5,Sunday,Summer,154,Moderate,61.3,93.4,23.8,10.9,1.5,32.6,Interpolated_from_baseline
2023-03-06,2023,3,6,Monday,Summer,154,Moderate,60.7,97.6,25.8,8.8,1.69,30.0,Interpolated_from_baseline
2023-03-07,2023,3,7,Tuesday,Summer,159,Moderate,70.6,114.8,27.0,12.9,1.75,27.1,Interpolated_from_baseline
2023-03-08,2023,3,8,Wednesday,Summer,156,Moderate,64.8,107.4,26.4,11.0,1.63,28.8,Interpolated_from_baseline
2023-03-09,2023,3,9,Thursday,Summer,154,Moderate,61.4,92.3,25.6,10.8,1.67,31.7,Interpolated_from_baseline
2023-03-10,2023,3,10,Friday,Summer,155,Moderate,62.3,89.5,25.2,10.0,1.73,29.1,Interpolated_from_baseline
2023-03-11,2023,3,11,Saturday,Summer,139,Moderate,50.9,73.8,18.6,9.0,1.33,27.6,Interpolated_from_baseline
2023-03-12,2023,3,12,Sunday,Summer,153,Moderate,58.7,84.5,25.3,10.2,1.34,27.5,Interpolated_from_baseline
2023-03-13,2023,3,13,Monday,Summer,153,Moderate,58.6,97.6,22.7,9.2,1.6,32.7,Interpolated_from_baseline
2023-03-14,2023,3,14,Tuesday,Summer,152,Moderate,57.0,92.0,23.1,9.1,1.59,27.7,Interpolated_from_baseline
2023-03-15,2023,3,15,Wednesday,Summer,154,Moderate,60.8,93.9,21.5,9.9,1.38,27.7,Interpolated_from_baseline
2023-03-16,2023,3,16,Thursday,Summer,156,Moderate,64.8,104.1,26.4,12.1,1.6,28.7,Interpolated_from_baseline
2023-03-17,2023,3,17,Friday,Summer,151,Moderate,56.2,92.0,21.0,10.5,1.26,32.8,Interpolated_from_baseline
2023-03-18,2023,3,18,Saturday,Summer,153,Moderate,58.6,84.4,23.7,10.9,1.5,30.8,Interpolated_from_baseline
2023-03-19,2023,3,19,Sunday,Summer,152,Moderate,57.1,91.0,22.6,9.7,1.48,32.4,Interpolated_from_baseline
2023-03-20,2023,3,20,Monday,Summer,163,Moderate,78.8,117.4,29.2,12.8,1.94,30.5,Interpolated_from_baseline
2023-03-21,2023,3,21,Tuesday,Summer,151,Moderate,56.3,81.1,25.1,10.6,1.5,30.2,Interpolated_from_baseline
2023-03-22,2023,3,22,Wednesday,Summer,158,Moderate,69.5,110.6,25.5,12.8,1.91,32.7,Interpolated_from_baseline
2023-03-23,2023,3,23,Thursday,Summer,152,Moderate,58.1,93.0,23.9,9.3,1.63,32.2,Interpolated_from_baseline
2023-03-24,2023,3,24,Friday,Summer,159,Moderate,71.2,118.6,26.1,12.0,1.76,32.8,Interpolated_from_baseline
2023-03-25,2023,3,25,Saturday,Summer,146,Moderate,53.8,87.7,23.3,8.7,1.34,28.6,Interpolated_from_baseline
2023-03-26,2023,3,26,Sunday,Summer,152,Moderate,57.1,92.0,25.3,10.3,1.37,29.7,Interpolated_from_baseline
2023-03-27,2023,3,27,Monday,Summer,155,Moderate,62.7,91.2,27.8,10.6,1.49,31.0,Interpolated_from_baseline
2023-03-28,2023,3,28,Tuesday,Summer,139,Moderate,50.9,73.8,21.2,8.4,1.38,30.1,Interpolated_from_baseline
2023-03-29,2023,3,29,Wednesday,Summer,159,Moderate,71.9,117.4,29.1,12.0,2.0,29.4,Interpolated_from_baseline
2023-03-30,2023,3,30,Thursday,Summer,157,Moderate,67.2,107.2,25.0,9.8,1.51,29.1,Interpolated_from_baseline
2023-03-31,2023,3,31,Friday,Summer,160,Moderate,72.6,113.8,28.3,11.7,2.03,29.1,Interpolated_from_baseline
2023-04-01,2023,4,1,Saturday,Summer,149,Moderate,55.1,84.3,22.7,9.5,1.63,32.5,Interpolated_from_baseline
2023-04-02,2023,4,2,Sunday,Summer,130,Moderate,47.1,78.3,18.8,6.8,1.24,38.4,Interpolated_from_baseline
2023-04-03,2023,4,3,Monday,Summer,108,Moderate,38.4,61.0,14.4,5.2,0.93,32.4,Interpolated_from_baseline
2023-04-04,2023,4,4,Tuesday,Summer,138,Moderate,50.5,74.2,18.4,8.2,1.24,33.9,Interpolated_from_baseline
2023-04-05,2023,4,5,Wednesday,Summer,138,Moderate,50.6,80.8,18.6,7.1,1.2,32.7,Interpolated_from_baseline
2023-04-06,2023,4,6,Thursday,Summer,152,Moderate,56.9,85.4,21.0,7.8,1.38,34.7,Interpolated_from_baseline
2023-04-07,2023,4,7,Friday,Summer,131,Moderate,47.6,74.1,19.9,6.4,1.36,35.9,Interpolated_from_baseline
2023-04-08,2023,4,8,Saturday,Summer,112,Moderate,39.9,57.9,17.4,7.0,0.95,33.4,Interpolated_from_baseline
2023-04-09,2023,4,9,Sunday,Summer,137,Moderate,50.1,74.0,18.6,7.5,1.33,35.8,Interpolated_from_baseline
2023-04-10,2023,4,10,Monday,Summer,151,Moderate,55.7,84.8,22.1,9.3,1.32,33.3,Interpolated_from_baseline
2023-04-11,2023,4,11,Tuesday,Summer,148,Moderate,54.6,85.1,22.0,7.5,1.44,35.2,Interpolated_from_baseline
2023-04-12,2023,4,12,Wednesday,Summer,144,Moderate,52.9,78.9,20.0,7.9,1.25,33.8,Interpolated_from_baseline
2023-04-13,2023,4,13,Thursday,Summer,130,Moderate,47.1,68.8,20.6,7.5,1.31,37.0,Interpolated_from_baseline
2023-04-14,2023,4,14,Friday,Summer,123,Moderate,44.4,69.0,16.0,7.0,1.21,36.7,Interpolated_from_baseline
2023-04-15,2023,4,15,Saturday,Summer,114,Moderate,40.8,61.3,15.8,6.6,1.11,34.0,Interpolated_from_baseline
2023-04-16,2023,4,16,Sunday,Summer,126,Moderate,45.6,76.5,18.7,6.5,1.1,32.6,Interpolated_from_baseline
2023-04-17,2023,4,17,Monday,Summer,129,Moderate,47.0,69.4,17.8,6.6,1.37,32.1,Interpolated_from_baseline
2023-04-18,2023,4,18,Tuesday,Summer,132,Moderate,48.0,75.0,18.8,8.5,1.16,34.3,Interpolated_from_baseline
2023-04-19,2023,4,19,Wednesday,Summer,131,Moderate,47.5,70.0,19.8,8.3,1.28,35.5,Interpolated_from_baseline
2023-04-20,2023,4,20,Thursday,Summer,151,Moderate,55.7,83.6,23.7,7.9,1.42,34.5,Interpolated_from_baseline
2023-04-21,2023,4,21,Friday,Summer,115,Moderate,41.1,60.0,16.9,6.0,1.12,32.6,Interpolated_from_baseline
2023-04-22,2023,4,22,Saturday,Summer,129,Moderate,46.9,72.7,18.9,6.3,1.2,32.4,Interpolated_from_baseline
2023-04-23,2023,4,23,Sunday,Summer,142,Moderate,52.3,78.2,21.8,8.8,1.43,34.8,Interpolated_from_baseline
2023-04-24,2023,4,24,Monday,Summer,131,Moderate,47.5,72.8,18.3,8.3,1.37,38.3,Interpolated_from_baseline
2023-04-25,2023,4,25,Tuesday,Summer,145,Moderate,53.3,88.7,19.7,7.2,1.5,35.5,Interpolated_from_baseline
2023-04-26,2023,4,26,Wednesday,Summer,130,Moderate,47.3,77.6,17.3,8.0,1.17,32.6,Interpolated_from_baseline
2023-04-27,2023,4,27,Thursday,Summer,145,Moderate,53.4,85.3,21.5,8.0,1.55,34.2,Interpolated_from_baseline
2023-04-28,2023,4,28,Friday,Summer,133,Moderate,48.5,79.3,19.1,7.3,1.28,33.6,Interpolated_from_baseline
2023-04-29,2023,4,29,Saturday,Summer,129,Moderate,46.8,69.7,20.5,7.0,1.26,37.8,Interpolated_from_baseline
2023-04-30,2023,4,30,Sunday,Summer,151,Moderate,56.0,88.8,20.3,9.9,1.54,33.8,Interpolated_from_baseline
2023-05-01,2023,5,1,Monday,Summer,124,Moderate,44.8,72.1,17.8,7.9,1.39,35.4,Interpolated_from_baseline
2023-05-02,2023,5,2,Tuesday,Summer,114,Moderate,40.9,62.6,15.2,6.9,1.05,38.5,Interpolated_from_baseline
2023-05-03,2023,5,3,Wednesday,Summer,126,Moderate,45.6,70.2,19.4,6.4,1.43,35.2,Interpolated_from_baseline
2023-05-04,2023,5,4,Thursday,Summer,124,Moderate,44.8,69.6,18.9,6.3,1.21,39.7,Interpolated_from_baseline
2023-05-05,2023,5,5,Friday,Summer,131,Moderate,47.6,77.5,19.0,7.0,1.33,35.6,Interpolated_from_baseline
2023-05-06,2023,5,6,Saturday,Summer,126,Moderate,45.8,77.0,18.4,7.0,1.31,41.4,Interpolated_from_baseline
2023-05-07,2023,5,7,Sunday,Summer,114,Moderate,40.7,64.3,16.5,5.5,1.28,41.3,Interpolated_from_baseline
2023-05-08,2023,5,8,Monday,Summer,105,Moderate,37.3,59.5,15.4,6.6,1.13,35.4,Interpolated_from_baseline
2023-05-09,2023,5,9,Tuesday,Summer,144,Moderate,52.8,82.4,22.0,9.4,1.68,37.6,Interpolated_from_baseline
2023-05-10,2023,5,10,Wednesday,Summer,137,Moderate,50.0,74.1,22.0,8.7,1.32,41.2,Interpolated_from_baseline
2023-05-11,2023,5,11,Thursday,Summer,120,Moderate,43.4,69.5,16.7,5.9,1.21,40.3,Interpolated_from_baseline
2023-05-12,2023,5,12,Friday,Summer,134,Moderate,48.8,70.9,18.5,7.5,1.43,41.2,Interpolated_from_baseline
2023-05-13,2023,5,13,Saturday,Summer,96,Satisfactory,33.3,54.6,13.0,4.8,0.95,35.3,Interpolated_from_baseline
2023-05-14,2023,5,14,Sunday,Summer,96,Satisfactory,33.3,49.9,13.1,5.1,1.06,37.0,Interpolated_from_baseline
2023-05-15,2023,5,15,Monday,Summer,143,Moderate,52.7,76.7,21.6,7.5,1.69,35.3,Interpolated_from_baseline
2023-05-16,2023,5,16,Tuesday,Summer,134,Moderate,48.9,76.2,17.4,8.9,1.42,38.7,Interpolated_from_baseline
2023-05-17,2023,5,17,Wednesday,Summer,120,Moderate,43.2,65.0,18.7,6.2,1.16,34.5,Interpolated_from_baseline
2023-05-18,2023,5,18,Thursday,Summer,119,Moderate,43.0,67.6,17.2,5.9,1.33,37.6,Interpolated_from_baseline
2023-05-19,2023,5,19,Friday,Summer,87,Satisfactory,29.4,45.7,11.8,4.2,0.79,40.7,Interpolated_from_baseline
2023-05-20,2023,5,20,Saturday,Summer,123,Moderate,44.6,75.4,17.1,6.6,1.34,37.3,Interpolated_from_baseline
2023-05-21,2023,5,21,Sunday,Summer,121,Moderate,43.8,63.9,16.1,6.4,1.32,34.3,Interpolated_from_baseline
2023-05-22,2023,5,22,Monday,Summer,136,Moderate,49.7,73.5,21.0,7.1,1.49,36.0,Interpolated_from_baseline
2023-05-23,2023,5,23,Tuesday,Summer,117,Moderate,41.8,68.3,17.9,7.3,1.18,39.3,Interpolated_from_baseline
2023-05-24,2023,5,24,Wednesday,Summer,115,Moderate,41.2,62.0,15.5,7.3,1.05,34.8,Interpolated_from_baseline
2023-05-25,2023,5,25,Thursday,Summer,124,Moderate,44.8,69.8,19.4,7.7,1.25,36.2,Interpolated_from_baseline
2023-05-26,2023,5,26,Friday,Summer,104,Moderate,36.6,56.7,14.8,5.4,1.09,37.3,Interpolated_from_baseline
2023-05-27,2023,5,27,Saturday,Summer,88,Satisfactory,29.6,45.2,12.9,5.0,0.78,40.8,Interpolated_from_baseline
2023-05-28,2023,5,28,Sunday,Summer,130,Moderate,47.4,74.7,20.5,8.2,1.35,34.4,Interpolated_from_baseline
2023-05-29,2023,5,29,Monday,Summer,124,Moderate,44.7,72.1,16.6,6.3,1.4,41.7,Interpolated_from_baseline
2023-05-30,2023,5,30,Tuesday,Summer,97,Satisfactory,34.2,54.2,12.4,5.0,0.88,41.1,Interpolated_from_baseline
2023-05-31,2023,5,31,Wednesday,Summer,122,Moderate,44.1,67.1,17.6,7.3,1.38,35.8,Interpolated_from_baseline
2023-06-01,2023,6,1,Thursday,Monsoon,93,Satisfactory,32.0,46.1,11.0,5.6,0.98,28.5,Interpolated_from_baseline
2023-06-02,2023,6,2,Friday,Monsoon,121,Moderate,43.5,64.4,17.9,6.6,1.19,28.1,Interpolated_from_baseline
2023-06-03,2023,6,3,Saturday,Monsoon,105,Moderate,37.2,53.9,12.8,6.2,0.94,28.6,Interpolated_from_baseline
2023-06-04,2023,6,4,Sunday,Monsoon,90,Satisfactory,30.7,46.3,11.1,5.1,0.82,28.4,Interpolated_from_baseline
2023-06-05,2023,6,5,Monday,Monsoon,89,Satisfactory,30.2,47.0,11.8,5.3,0.9,26.4,Interpolated_from_baseline
2023-06-06,2023,6,6,Tuesday,Monsoon,97,Satisfactory,33.8,52.8,13.0,5.0,1.01,25.8,Interpolated_from_baseline
2023-06-07,2023,6,7,Wednesday,Monsoon,104,Moderate,36.8,53.6,14.6,5.7,1.08,27.6,Interpolated_from_baseline
2023-06-08,2023,6,8,Thursday,Monsoon,111,Moderate,39.4,64.5,15.5,5.7,1.13,27.2,Interpolated_from_baseline
2023-06-09,2023,6,9,Friday,Monsoon,97,Satisfactory,33.8,49.4,13.9,4.7,1.05,27.7,Interpolated_from_baseline
2023-06-10,2023,6,10,Saturday,Monsoon,97,Satisfactory,33.9,56.1,13.4,5.8,0.99,29.1,Interpolated_from_baseline
2023-06-11,2023,6,11,Sunday,Monsoon,84,Satisfactory,27.9,46.0,9.8,4.3,0.73,30.7,Interpolated_from_baseline
2023-06-12,2023,6,12,Monday,Monsoon,108,Moderate,38.2,56.6,14.6,6.7,0.95,29.1,Interpolated_from_baseline
2023-06-13,2023,6,13,Tuesday,Monsoon,105,Moderate,37.2,56.2,15.4,6.6,1.16,27.9,Interpolated_from_baseline
2023-06-14,2023,6,14,Wednesday,Monsoon,103,Moderate,36.4,55.2,14.7,4.9,1.05,26.5,Interpolated_from_baseline
2023-06-15,2023,6,15,Thursday,Monsoon,103,Moderate,36.4,53.4,12.3,6.0,0.98,29.3,Interpolated_from_baseline
2023-06-16,2023,6,16,Friday,Monsoon,101,Moderate,35.5,55.8,14.2,5.2,1.03,30.2,Interpolated_from_baseline
2023-06-17,2023,6,17,Saturday,Monsoon,92,Satisfactory,31.4,50.0,11.0,4.2,0.96,25.3,Interpolated_from_baseline
2023-06-18,2023,6,18,Sunday,Monsoon,96,Satisfactory,33.5,56.0,13.5,6.0,0.91,29.5,Interpolated_from_baseline
2023-06-19,2023,6,19,Monday,Monsoon,114,Moderate,40.9,62.9,15.3,6.6,1.25,30.7,Interpolated_from_baseline
2023-06-20,2023,6,20,Tuesday,Monsoon,98,Satisfactory,34.3,52.9,13.6,4.9,0.87,27.2,Interpolated_from_baseline
2023-06-21,2023,6,21,Wednesday,Monsoon,118,Moderate,42.6,64.3,15.2,6.1,1.07,25.3,Interpolated_from_baseline
2023-06-22,2023,6,22,Thursday,Monsoon,102,Moderate,36.1,55.4,14.1,5.2,1.12,29.6,Interpolated_from_baseline
2023-06-23,2023,6,23,Friday,Monsoon,105,Moderate,37.3,54.5,13.7,6.5,1.16,27.8,Interpolated_from_baseline
2023-06-24,2023,6,24,Saturday,Monsoon,86,Satisfactory,28.7,48.4,10.1,5.1,0.84,28.6,Interpolated_from_baseline
2023-06-25,2023,6,25,Sunday,Monsoon,99,Satisfactory,34.7,54.3,12.2,4.9,0.91,26.2,Interpolated_from_baseline
2023-06-26,2023,6,26,Monday,Monsoon,96,Satisfactory,33.5,48.6,14.0,5.8,1.04,30.8,Interpolated_from_baseline
2023-06-27,2023,6,27,Tuesday,Monsoon,116,Moderate,41.5,61.5,15.2,7.0,1.22,26.1,Interpolated_from_baseline
2023-06-28,2023,6,28,Wednesday,Monsoon,97,Satisfactory,33.9,50.6,12.8,5.4,0.97,25.7,Interpolated_from_baseline
2023-06-29,2023,6,29,Thursday,Monsoon,110,Moderate,39.0,64.6,13.8,5.4,1.2,30.6,Interpolated_from_baseline
2023-06-30,2023,6,30,Friday,Monsoon,106,Moderate,37.5,60.0,14.2,5.1,1.03,27.3,Interpolated_from_baseline
2023-07-01,2023,7,1,Saturday,Monsoon,89,Satisfactory,30.2,43.6,11.4,4.3,0.78,20.8,Interpolated_from_baseline
2023-07-02,2023,7,2,Sunday,Monsoon,83,Satisfactory,27.2,43.1,9.7,3.9,0.79,23.4,Interpolated_from_baseline
2023-07-03,2023,7,3,Monday,Monsoon,94,Satisfactory,32.6,47.7,12.1,4.7,0.88,23.7,Interpolated_from_baseline
2023-07-04,2023,7,4,Tuesday,Monsoon,97,Satisfactory,34.0,53.9,13.2,5.2,1.05,22.9,Interpolated_from_baseline
2023-07-05,2023,7,5,Wednesday,Monsoon,102,Moderate,36.0,55.6,13.2,5.5,0.94,23.7,Interpolated_from_baseline
2023-07-06,2023,7,6,Thursday,Monsoon,91,Satisfactory,31.1,45.4,11.8,4.0,0.96,23.5,Interpolated_from_baseline
2023-07-07,2023,7,7,Friday,Monsoon,93,Satisfactory,32.3,48.5,10.2,4.3,0.95,24.1,Interpolated_from_baseline
2023-07-08,2023,7,8,Saturday,Monsoon,77,Satisfactory,24.3,37.2,8.8,3.8,0.63,23.1,Interpolated_from_baseline
2023-07-09,2023,7,9,Sunday,Monsoon,92,Satisfactory,31.6,47.7,12.5,4.3,0.93,23.9,Interpolated_from_baseline
2023-07-10,2023,7,10,Monday,Monsoon,89,Satisfactory,30.1,43.7,11.3,3.7,0.88,21.3,Interpolated_from_baseline
2023-07-11,2023,7,11,Tuesday,Monsoon,94,Satisfactory,32.5,49.7,10.3,5.2,1.03,24.1,Interpolated_from_baseline
2023-07-12,2023,7,12,Wednesday,Monsoon,88,Satisfactory,29.6,46.2,9.4,3.6,0.81,22.0,Interpolated_from_baseline
2023-07-13,2023,7,13,Thursday,Monsoon,95,Satisfactory,33.2,52.0,12.4,4.7,0.9,24.2,Interpolated_from_baseline
2023-07-14,2023,7,14,Friday,Monsoon,81,Satisfactory,26.2,37.2,10.0,4.0,0.7,20.2,Interpolated_from_baseline
2023-07-15,2023,7,15,Saturday,Monsoon,71,Satisfactory,21.4,33.0,7.9,2.8,0.68,20.5,Interpolated_from_baseline
2023-07-16,2023,7,16,Sunday,Monsoon,91,Satisfactory,31.3,46.3,11.6,4.3,0.85,24.1,Interpolated_from_baseline
2023-07-17,2023,7,17,Monday,Monsoon,92,Satisfactory,31.4,46.4,12.3,4.1,0.84,19.9,Interpolated_from_baseline
2023-07-18,2023,7,18,Tuesday,Monsoon,82,Satisfactory,27.0,42.9,9.6,4.4,0.71,23.6,Interpolated_from_baseline
2023-07-19,2023,7,19,Wednesday,Monsoon,105,Moderate,37.3,58.4,14.2,5.9,1.13,22.6,Interpolated_from_baseline
2023-07-20,2023,7,20,Thursday,Monsoon,94,Satisfactory,32.5,51.1,11.6,4.1,0.85,22.8,Interpolated_from_baseline
2023-07-21,2023,7,21,Friday,Monsoon,98,Satisfactory,34.5,51.2,11.4,4.9,0.88,22.4,Interpolated_from_baseline
2023-07-22,2023,7,22,Saturday,Monsoon,93,Satisfactory,32.0,46.5,11.3,3.9,0.82,21.5,Interpolated_from_baseline
2023-07-23,2023,7,23,Sunday,Monsoon,82,Satisfactory,26.8,40.1,9.8,3.6,0.8,23.6,Interpolated_from_baseline
2023-07-24,2023,7,24,Monday,Monsoon,85,Satisfactory,28.1,40.4,11.2,3.6,0.8,22.5,Interpolated_from_baseline
2023-07-25,2023,7,25,Tuesday,Monsoon,92,Satisfactory,31.6,48.9,11.4,3.9,0.87,22.1,Interpolated_from_baseline
2023-07-26,2023,7,26,Wednesday,Monsoon,90,Satisfactory,30.8,42.7,9.9,4.3,0.8,22.3,Interpolated_from_baseline
